Note,Degree,Idx
C,1,0
C#,#1,1
C#,b2,1
D,2,2
D#,#2,3
D#,b3,3
E,3,4
F,4,5
F#,#4,6
F#,b5,6
G,5,7
G#,#5,8
G#,b6,8
A,6,9
A#,#6,10
A#,b7,10
B,7,11
C,8,0
C#,#8,1
C#,b9,1
D,9,2
D#,#9,3
D#,b10,3
E,10,4
F,11,5
F#,#11,6
F#,b12,6
G,12,7
G#,#12,8
G#,b13,8
A,13,9
A#,#13,10
A#,b14,10
B,14,11
